run_id,model_name,dataset,fraction,seed,regime,bin,bin_lo,bin_hi,count,accuracy,confidence,gap
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,11,0.7333333333333333,0.8,157,0.7515923566878981,0.7686976520878495,0.017105295399951315
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,12,0.8,0.8666666666666667,232,0.8362068965517241,0.8324591674167534,0.0037477291349706787
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,13,0.8666666666666667,0.9333333333333333,380,0.9078947368421053,0.9040234437114314,0.003871293130673914
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,14,0.9333333333333333,1.0,4075,0.9906748466257669,0.9896777109426955,0.0009971356830713596
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,0,0.0,0.06666666666666667,17,0.17647058823529413,0.03906753631856512,0.13740305191672902
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,1,0.06666666666666667,0.13333333333333333,130,0.17692307692307693,0.10744722147400562,0.06947585544907131
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,2,0.13333333333333333,0.2,280,0.25,0.16967072124992097,0.08032927875007903
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,3,0.2,0.26666666666666666,309,0.31715210355987056,0.23373230375518306,0.0834197998046875
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,4,0.26666666666666666,0.3333333333333333,362,0.4281767955801105,0.29891123157509125,0.12926556400501926
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,5,0.3333333333333333,0.4,367,0.5449591280653951,0.3667939213543562,0.17816520671103897
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,6,0.4,0.4666666666666667,320,0.603125,0.4333913539536297,0.1697336460463703
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,7,0.4666666666666667,0.5333333333333333,319,0.6269592476489029,0.5014895147477572,0.12546973290114571
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,8,0.5333333333333333,0.6,321,0.7819314641744548,0.5660369910555094,0.21589447311894538
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,9,0.6,0.6666666666666666,316,0.8322784810126582,0.6319209803131562,0.20035750069950198
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,10,0.6666666666666666,0.7333333333333333,328,0.8780487804878049,0.701362685822859,0.1766860946649459
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,11,0.7333333333333333,0.8,350,0.9085714285714286,0.7698816251754761,0.1386898033959525
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,12,0.8,0.8666666666666667,495,0.9575757575757575,0.834387884115932,0.12318787345982551
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,13,0.8666666666666667,0.9333333333333333,716,0.9860335195530726,0.9040163588923449,0.08201716066072773
resnet50_caltech256_f10_s0_fullft,resnet50,caltech256,10,0,fullft,14,0.9333333333333333,1.0,1322,0.9947049924357034,0.967573005069222,0.02713198736648148
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,0,0.0,0.06666666666666667,8,0.0,0.04865555930882692,0.04865555930882692
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,1,0.06666666666666667,0.13333333333333333,121,0.1652892561983471,0.10751565687419955,0.057773599324147565
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,2,0.13333333333333333,0.2,269,0.241635687732342,0.17046072813214866,0.07117495960019335
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,3,0.2,0.26666666666666666,344,0.3691860465116279,0.23391172302843527,0.13527432348319263
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,4,0.26666666666666666,0.3333333333333333,359,0.43454038997214484,0.2976893420671022,0.13685104790504266
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,5,0.3333333333333333,0.4,355,0.5070422535211268,0.368383732647963,0.13865852087316377
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,6,0.4,0.4666666666666667,366,0.5819672131147541,0.4341786472849507,0.14778856582980338
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,7,0.4666666666666667,0.5333333333333333,323,0.6377708978328174,0.49802676239988014,0.13974413543293723
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,8,0.5333333333333333,0.6,338,0.7071005917159763,0.5683212724663097,0.13877931924966658
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,9,0.6,0.6666666666666666,303,0.7986798679867987,0.6334176057636147,0.16526226222318396
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,10,0.6666666666666666,0.7333333333333333,314,0.8503184713375797,0.6997422069121318,0.1505762644254478
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,11,0.7333333333333333,0.8,305,0.8852459016393442,0.7677797229563603,0.11746617868298392
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,12,0.8,0.8666666666666667,467,0.9186295503211992,0.8351104151002855,0.0835191352209137
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,13,0.8666666666666667,0.9333333333333333,615,0.9739837398373984,0.9025804501238878,0.07140328971351062
resnet50_caltech256_f10_s0_linprobe,resnet50,caltech256,10,0,linprobe,14,0.9333333333333333,1.0,1465,0.995221843003413,0.9752009036597945,0.020020939343618482
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,0,0.0,0.06666666666666667,12,0.16666666666666666,0.04154526007672151,0.12512140658994514
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,1,0.06666666666666667,0.13333333333333333,148,0.18243243243243243,0.1082317087094526,0.07420072372297982
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,2,0.13333333333333333,0.2,318,0.22641509433962265,0.1665420115650075,0.059873082774615144
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,3,0.2,0.26666666666666666,355,0.38028169014084506,0.2348090800600992,0.14547261008074586
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,4,0.26666666666666666,0.3333333333333333,375,0.4693333333333333,0.29889753834406535,0.17043579498926797
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,5,0.3333333333333333,0.4,346,0.546242774566474,0.36533573140643233,0.18090704316004164
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,6,0.4,0.4666666666666667,314,0.6114649681528662,0.43340979269735375,0.17805517545551247
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,7,0.4666666666666667,0.5333333333333333,327,0.6636085626911316,0.4975862740923505,0.16602228859878104
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,8,0.5333333333333333,0.6,325,0.7230769230769231,0.5674994373321534,0.1555774857447697
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,9,0.6,0.6666666666666666,321,0.822429906542056,0.6343047000537408,0.1881252064883152
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,10,0.6666666666666666,0.7333333333333333,332,0.8674698795180723,0.7014377075864608,0.16603217193161146
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,11,0.7333333333333333,0.8,376,0.9281914893617021,0.7680191442053369,0.16017234515636525
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,12,0.8,0.8666666666666667,485,0.9628865979381444,0.8344659855685284,0.128420612369616
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,13,0.8666666666666667,0.9333333333333333,687,0.992721979621543,0.9029306386756064,0.08979134094593655
resnet50_caltech256_f10_s1_fullft,resnet50,caltech256,10,1,fullft,14,0.9333333333333333,1.0,1231,0.9959382615759546,0.9647425355996474,0.031195725976307154
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,0,0.0,0.06666666666666667,11,0.09090909090909091,0.05420402945442633,0.03670506145466458
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,1,0.06666666666666667,0.13333333333333333,111,0.12612612612612611,0.11386553473300762,0.012260591393118497
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,2,0.13333333333333333,0.2,300,0.25666666666666665,0.17083193416396777,0.08583473250269888
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,3,0.2,0.26666666666666666,345,0.3333333333333333,0.23645714771920356,0.09687618561412975
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,4,0.26666666666666666,0.3333333333333333,360,0.46111111111111114,0.29999105864100983,0.1611200524701013
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,5,0.3333333333333333,0.4,383,0.4830287206266319,0.3661334667909239,0.11689525383570798
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,6,0.4,0.4666666666666667,338,0.5532544378698225,0.430461490383515,0.12279294748630754
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,7,0.4666666666666667,0.5333333333333333,371,0.6442048517520216,0.5011240249534823,0.14308082679853928
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,8,0.5333333333333333,0.6,319,0.7335423197492164,0.5663771399509944,0.16716517979822199
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,9,0.6,0.6666666666666666,328,0.7591463414634146,0.632972339304482,0.1261740021589326
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,10,0.6666666666666666,0.7333333333333333,336,0.8422619047619048,0.6996885587771734,0.14257334598473137
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,11,0.7333333333333333,0.8,353,0.8980169971671388,0.7668791340700966,0.13113786309704223
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,12,0.8,0.8666666666666667,419,0.9260143198090692,0.835572269053903,0.0904420507551662
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,13,0.8666666666666667,0.9333333333333333,593,0.9730185497470489,0.9029847956427435,0.07003375410430546
resnet50_caltech256_f10_s1_linprobe,resnet50,caltech256,10,1,linprobe,14,0.9333333333333333,1.0,1385,0.9927797833935018,0.9749200269203324,0.017859756473169397
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,0,0.0,0.06666666666666667,12,0.08333333333333333,0.04460748021180431,0.03872585312152902
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,1,0.06666666666666667,0.13333333333333333,146,0.14383561643835616,0.10876585027738793,0.03506976616096823
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,2,0.13333333333333333,0.2,299,0.20066889632107024,0.16718536630322703,0.03348353001784321
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,3,0.2,0.26666666666666666,333,0.35735735735735735,0.235258787467673,0.12209856988968434
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,4,0.26666666666666666,0.3333333333333333,335,0.4059701492537313,0.2995718660639293,0.10639828318980199
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,5,0.3333333333333333,0.4,338,0.5325443786982249,0.36591817950003247,0.16662619919819244
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,6,0.4,0.4666666666666667,348,0.6235632183908046,0.4337202073342499,0.18984301105655477
resnet50_caltech256_f10_s2_fullft,resnet50,caltech256,10,2,fullft,7,0.4666666666666667,0.5333333333333333,338,0.6893491124260355,0.5001810783817924,0.1891680340442431
